date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:50	27309/27309	---MCZ	200	added ('OK')	image/png	etag:W/%2261b77bac-6aad%22	https://mediaman.ma/clients/LOGOS-18.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-18c619.png	(from https://mediaman.ma/)
12:56:50	10976/10976	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-2ae0%22	https://mediaman.ma/clients/LOGOS-20.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-20c619.png	(from https://mediaman.ma/)
12:56:50	14426/14426	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3de7e-385a%22	https://mediaman.ma/clients/LOGOS-01.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-01.png	(from https://mediaman.ma/)
12:56:51	21844/21844	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3de9a-5554%22	https://mediaman.ma/clients/LOGOS-02.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-02.png	(from https://mediaman.ma/)
12:56:51	19194/19194	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3deec-4afa%22	https://mediaman.ma/clients/LOGOS-04.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-04.png	(from https://mediaman.ma/)
12:56:51	32602/32602	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-7f5a%22	https://mediaman.ma/clients/LOGOS-03.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-03.png	(from https://mediaman.ma/)
12:56:51	6217/6217	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-1849%22	https://mediaman.ma/clients/LOGOS-05.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-05.png	(from https://mediaman.ma/)
12:56:52	27046/27046	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-69a6%22	https://mediaman.ma/clients/LOGOS-06.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-06.png	(from https://mediaman.ma/)
12:56:52	18759/18759	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dee8-4947%22	https://mediaman.ma/clients/LOGOS-07.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-07.png	(from https://mediaman.ma/)
12:56:52	10768/10768	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-2a10%22	https://mediaman.ma/clients/LOGOS-08.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-08.png	(from https://mediaman.ma/)
12:56:53	15638/15638	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-3d16%22	https://mediaman.ma/clients/LOGOS-09.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-09.png	(from https://mediaman.ma/)
12:56:53	31067/31067	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dea0-795b%22	https://mediaman.ma/clients/LOGOS-10.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-10.png	(from https://mediaman.ma/)
12:56:53	23911/23911	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-5d67%22	https://mediaman.ma/clients/LOGOS-11.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-11.png	(from https://mediaman.ma/)
12:56:54	23886/23886	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-5d4e%22	https://mediaman.ma/clients/LOGOS-13.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-13.png	(from https://mediaman.ma/)
12:56:54	14159/14159	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-374f%22	https://mediaman.ma/clients/LOGOS-14.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-14.png	(from https://mediaman.ma/)
12:56:54	24987/24987	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-619b%22	https://mediaman.ma/clients/LOGOS-12.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-12.png	(from https://mediaman.ma/)
12:56:54	50728/50728	---MCZ	200	added ('OK')	image/png	etag:W/%2261b77b50-c628%22	https://mediaman.ma/clients/LOGOS-15.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-15.png	(from https://mediaman.ma/)
12:56:54	20234/20234	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-4f0a%22	https://mediaman.ma/clients/LOGOS-16.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-16.png	(from https://mediaman.ma/)
12:56:55	10127/10127	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-278f%22	https://mediaman.ma/clients/LOGOS-17.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-17.png	(from https://mediaman.ma/)
12:56:55	27309/27309	---MCZ	200	added ('OK')	image/png	etag:W/%2261b77bac-6aad%22	https://mediaman.ma/clients/LOGOS-18.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-18.png	(from https://mediaman.ma/)
12:56:55	12990/12990	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-32be%22	https://mediaman.ma/clients/LOGOS-19.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-19.png	(from https://mediaman.ma/)
12:56:55	10976/10976	---MCZ	200	added ('OK')	image/png	etag:W/%2261b3dc9e-2ae0%22	https://mediaman.ma/clients/LOGOS-20.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/clients/LOGOS-20.png	(from https://mediaman.ma/)
12:56:56	75417/75417	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb23c-12699%22	https://mediaman.ma/assets/media/others/laptop-poses.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/media/others/laptop-poses.png	(from https://mediaman.ma/)
12:56:56	100364/100364	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb234-1880c%22	https://mediaman.ma/assets/media/others/chat-group.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/media/others/chat-group.png	(from https://mediaman.ma/)
12:56:56	93843/93843	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb21a-16e93%22	https://mediaman.ma/assets/media/others/bill-pay.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/media/others/bill-pay.png	(from https://mediaman.ma/)
12:56:56	7520/7520	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb21e-1d60%22	https://mediaman.ma/assets/media/others/bubble-12.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/media/others/bubble-12.png	(from https://mediaman.ma/)
12:56:57	397/397	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb220-18d%22	https://mediaman.ma/assets/media/others/bubble-16.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/media/others/bubble-16.png	(from https://mediaman.ma/)
12:56:57	1509/1509	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb21e-5e5%22	https://mediaman.ma/assets/media/others/bubble-13.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/media/others/bubble-13.png	(from https://mediaman.ma/)
12:56:57	1584/1584	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb21e-630%22	https://mediaman.ma/assets/media/others/bubble-14.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/media/others/bubble-14.png	(from https://mediaman.ma/)
